Name,App,IP,BF,# P,ERA,WHIP,wOBA,Strike%,Wiff%,AB,H,2B,3B,HR,Avg,Slg,Obp,K,BB,HBP,K%,BB%,1stP K%,OA3%,FB velo,FIP,K/9,H/9,BB/9,SF
Interdonato,5,9,40,169,2,2.6,0.314,55.60%,36.00%,32,7,2,0,0,0.219,0.281,0.375,15,6,2,37.50%,15.00%,52.50%,72.50%,93.1,2.533333333,15,7,6,0
Pierce,5,10,43,178,2.7,1.1,0.254,62.90%,33.30%,36,5,1,0,1,0.139,0.25,0.279069767,16,6,1,37.20%,14.00%,55.80%,69.80%,89.7,3.4,14.4,4.5,5.4,0
Garnett,5,7.7,36,169,2.35,2.6,0.286,55.60%,41.20%,25,3,0,0,0,0.12,0.12,0.388888889,15,10,1,41.70%,27.80%,44.40%,55.60%,92.4,3.58961039,17.53246753,3.506493506,11.68831169,0
McDonough,5,9.3,44,173,2.89,2.2,0.29,60.70%,37.30%,39,9,0,0,1,0.231,0.308,0.318181818,14,2,3,31.80%,4.50%,61.40%,68.20%,88.1,3.2,13.5483871,8.709677419,1.935483871,0
Calveric,5,8,39,172,4.5,2.2,0.331,57.00%,35.90%,28,5,0,1,0,0.179,0.25,0.41025641,13,6,5,33.30%,15.40%,56.40%,64.10%,89.8,4.075,14.625,5.625,6.75,0
Hertzler,5,8,40,177,1.13,2.4,0.309,52.50%,37.90%,28,4,1,0,0,0.143,0.179,0.4,12,8,4,30.00%,20.00%,47.50%,50.00%,90.4,4.7,13.5,4.5,9,0
Knowles,5,8,40,187,3.38,2.8,0.322,57.80%,27.70%,29,5,2,0,0,0.172,0.241,0.4,12,9,2,30.00%,22.50%,67.50%,65.00%,91.7,4.325,13.5,5.625,10.125,0
Kelly,5,9.7,46,177,3.73,3.2,0.313,68.90%,25.00%,41,11,3,0,0,0.268,0.341,0.347826087,12,5,0,26.10%,10.90%,65.20%,80.40%,88.1,2.272164948,11.13402062,10.20618557,4.639175258,0
Weidinger,4,6,26,94,3,2.25,0.332,62.80%,23.50%,23,6,0,0,1,0.261,0.391,0.346153846,7,3,0,26.90%,11.50%,59.30%,76.90%,85.6,4.533333333,10.5,9,4.5,0
Hindy,5,9.7,40,165,3.72,3,0.329,57.60%,29.50%,31,6,1,0,1,0.194,0.323,0.375,10,9,0,25.00%,22.50%,51.20%,65.00%,89,5.26185567,9.278350515,5.567010309,8.350515464,0
Lovasz,5,6.7,36,147,2.7,2.4,0.385,60.50%,20.70%,27,8,1,0,0,0.296,0.333,0.472222222,9,4,5,25.00%,11.10%,75.00%,72.20%,86.9,4.543283582,12.08955224,10.74626866,5.373134328,0
Lippman,5,8.7,42,183,4.15,3,0.348,50.30%,40.40%,31,6,1,0,1,0.194,0.323,0.404761905,12,9,2,27.30%,21.40%,31.00%,57.10%,90.4,5.728735632,12.4137931,6.206896552,9.310344828,0
Kolarov,5,9,44,187,3,3.4,0.364,51.30%,37.00%,30,7,0,0,0,0.233,0.233,0.477272727,12,10,4,27.30%,22.70%,37.80%,61.40%,81.4,5.2,12,7,10,0
Snyder,5,8.7,44,181,3.12,3,0.358,55.80%,21.00%,33,9,1,0,0,0.273,0.303,0.441860465,7,6,4,15.90%,13.60%,50.00%,72.70%,86.6,5.03908046,7.24137931,9.310344828,6.206896552,0
Markus,5,9.7,41,165,2.79,1.55,0.358,55.80%,41.70%,33,8,2,0,1,0.242,0.394,0.390243902,11,7,1,26.80%,17.10%,54.80%,65.90%,91.7,4.746391753,10.20618557,7.422680412,6.494845361,0
Yates,5,9,42,175,5,3,0.34,52.60%,28.80%,30,7,1,0,0,0.233,0.267,0.428571429,11,8,3,26.20%,19.00%,59.50%,50.00%,84.2,4.422222222,11,7,8,1
Potts,5,8.3,44,176,4.32,2.8,0.358,62.50%,33.80%,34,8,1,0,1,0.235,0.353,0.409090909,9,6,4,20.50%,13.60%,56.80%,59.10%,90,6.212048193,9.759036145,8.674698795,6.506024096,0
Scott,5,7.7,39,163,8.21,2.6,0.362,56.40%,24.60%,33,9,5,0,0,0.273,0.424,0.384615385,6,4,2,15.40%,10.30%,55.30%,61.50%,83.5,3.979220779,7.012987013,10.51948052,4.675324675,0
Brizendine,5,9.3,47,165,6.75,4.2,0.399,55.80%,16.10%,39,14,2,0,0,0.359,0.41,0.468085106,5,7,1,10.60%,14.90%,62.50%,70.20%,81.3,4.705376344,4.838709677,13.5483871,6.774193548,0
Lottchea,4,6,30,116,6,3.5,0.425,57.80%,28.60%,23,8,2,0,0,0.348,0.435,0.5,6,6,1,20.00%,20.00%,63.30%,73.30%,85.1,4.7,9,12,9,0
Averages,,,,,3.772,2.69,0.33885,0.5751,0.31,,7.25,1.3,0.05,0.35,0.2306,0.30795,0.400855043,10.7,6.55,2.25,0.26725,0.1639,0.5536,0.65545,87.95,4.358332832,11.42899344,7.833406183,7.036462483,
